1001	-	Finland
1001	4	-
1001	2	-
1001	1	-
1001	5	-
1001	1	-
1002	-	India
1003	-	Finland
1003	2	-
1003	5	-
1003	5	-
1004	4	-
1004	3	-
1004	5	-
1004	1	-
1004	1	-
1004	2	-
1004	1	-
1004	4	-
1004	5	-
1004	-	Finland
1005	-	Brazil
1005	2	-
1005	1	-
1005	1	-
1005	3	-
1005	2	-
1005	5	-
1006	1	-
1006	4	-
1006	4	-
1006	1	-
1006	-	Germany
1007	-	Denmark
1007	5	-
1007	3	-
1007	1	-
1007	1	-
1007	4	-
1008	5	-
1008	2	-
1008	3	-
1008	4	-
1008	4	-
1008	3	-
1008	4	-
1008	4	-
1008	2	-
1008	2	-
1008	-	Germany
1009	-	Kenya
1009	2	-
1009	5	-
1009	4	-
1009	3	-
1009	3	-
1009	4	-
1009	3	-
1009	5	-
1010	3	-
1010	-	Japan
1011	-	Finland
1011	4	-
1011	2	-
1011	2	-
1011	3	-
1012	5	-
1012	2	-
1012	2	-
1012	5	-
1012	2	-
1012	4	-
1012	-	Germany
1013	-	India
1013	1	-
1013	3	-
1014	3	-
1014	3	-
1014	4	-
1014	2	-
1014	-	Hong-Kong
1015	-	Canada
1015	3	-
1015	4	-
1015	5	-
1015	5	-
1015	5	-
1016	2	-
1016	3	-
1016	4	-
1016	2	-
1016	2	-
1016	4	-
1016	5	-
1016	5	-
1016	-	Denmark
1017	-	Brazil
1017	3	-
1017	2	-
1017	5	-
1017	4	-
1017	1	-
1018	5	-
1018	1	-
1018	1	-
1018	5	-
1018	-	Finland
1019	-	Kenya
1019	5	-
1019	5	-
1019	3	-
1019	2	-
1019	4	-
1019	1	-
1020	2	-
1020	2	-
1020	1	-
1020	5	-
1020	4	-
1020	-	Germany
1021	-	Germany
